Freq.	V(vout)
3.11665831864204e-02	7.31165147982712e-03,1.11633450351858e-01
3.13833639158704e-02	7.41331740947943e-03,1.12403530074269e-01
3.16016524745355e-02	7.51639131595352e-03,1.13178832517236e-01
3.18214593501971e-02	7.62089254014214e-03,1.13959391225157e-01
3.20427951035853e-02	7.72684068418666e-03,1.14745239918151e-01
3.22656703688854e-02	7.83425561488152e-03,1.15536412492110e-01
3.24900958542498e-02	7.94315746711978e-03,1.16332943018707e-01
3.27160823423116e-02	8.05356664737957e-03,1.17134865745401e-01
3.29436406907033e-02	8.16550383725258e-03,1.17942215095401e-01
3.31727818325781e-02	8.27898999701412e-03,1.18755025667613e-01
3.34035167771352e-02	8.39404636923602e-03,1.19573332236558e-01
3.36358566101490e-02	8.51069448244206e-03,1.20397169752266e-01
3.38698124945015e-02	8.62895615480666e-03,1.21226573340142e-01
3.41053956707187e-02	8.74885349789718e-03,1.22061578300796e-01
3.43426174575106e-02	8.87040892046019e-03,1.22902220109860e-01
3.45814892523151e-02	8.99364513225206e-03,1.23748534417761e-01
3.48220225318454e-02	9.11858514791436e-03,1.24600557049470e-01
3.50642288526419e-02	9.24525229089432e-03,1.25458324004220e-01
3.53081198516267e-02	9.37367019741095e-03,1.26321871455190e-01
3.55537072466633e-02	9.50386282046690e-03,1.27191235749160e-01
3.58010028371194e-02	9.63585443390672e-03,1.28066453406127e-01
3.60500185044337e-02	9.76966963652188e-03,1.28947561118892e-01
3.63007662126869e-02	9.90533335620269e-03,1.29834595752612e-01
3.65532580091765e-02	1.00428708541377e-02,1.30727594344308e-01
3.68075060249955e-02	1.01823077290611e-02,1.31626594102347e-01
3.70635224756153e-02	1.03236699215480e-02,1.32531632405882e-01
3.73213196614728e-02	1.04669837183588e-02,1.33442746804246e-01
3.75809099685610e-02	1.06122757568318e-02,1.34359975016323e-01
3.78423058690244e-02	1.07595730293256e-02,1.35283354929859e-01
3.81055199217580e-02	1.09089028877114e-02,1.36212924600748e-01
3.83705647730111e-02	1.10602930479145e-02,1.37148722252266e-01
3.86374531569944e-02	1.12137715945073e-02,1.38090786274263e-01
3.89061978964920e-02	1.13693669853520e-02,1.39039155222317e-01
3.91768119034776e-02	1.15271080562952e-02,1.39993867816829e-01
3.94493081797349e-02	1.16870240259133e-02,1.40954962942088e-01
3.97236998174820e-02	1.18491445003106e-02,1.41922479645275e-01
4.00000000000006e-02	1.20134994779683e-02,1.42896457135425e-01
4.02782220022693e-02	1.21801193546472e-02,1.43876934782337e-01
4.05583791916017e-02	1.23490349283421e-02,1.44863952115434e-01
4.08404850282883e-02	1.25202774042902e-02,1.45857548822570e-01
4.11245530662433e-02	1.26938784000322e-02,1.46857764748784e-01
4.14105969536557e-02	1.28698699505278e-02,1.47864639895000e-01
4.16986304336455e-02	1.30482845133245e-02,1.48878214416670e-01
